year,sport,percent_women
1980,Shooting,0.02092050209205021
1980,Sailing,0.00641025641025641
1980,Football,0
1980,Weightlifting,0
1980,Wrestling,0
1980,Cycling,0
1980,Boxing,0
1980,Judo,0
1980,Water Polo,0
1980,Modern Pentathlon,0
1900,Golf,0.45454545454545453
1900,Tennis,0.28
1900,Sailing,0.010416666666666666
1900,Croquet,0.3
1900,Equestrianism,0.03508771929824561
1900,Tug-Of-War,0
1900,Gymnastics,0
1900,Rowing,0
1900,Fencing,0
1900,Swimming,0
1900,Shooting,0
1900,Rugby,0
1900,Football,0
1900,Cycling,0
1900,Athletics,0
1900,Cricket,0
1900,Water Polo,0
1900,Archery,0
1900,Polo,0
1900,Basque Pelota,0
1984,Athletics,0.30078125
1984,Swimming,0.3765182186234818
1984,Cycling,0.12534818941504178
1984,Gymnastics,0.47794117647058826
1984,Shooting,0.1673913043478261
1984,Archery,0.43119266055045874
1984,Rhythmic Gymnastics,1
1984,Synchronized Swimming,1
1984,Rowing,0.36017897091722595
1984,Handball,0.3166023166023166
1984,Hockey,0.3356643356643357
1984,Canoeing,0.18974358974358974
1984,Fencing,0.22900763358778625
1984,Equestrianism,0.29936305732484075
1984,Basketball,0.3333333333333333
1984,Volleyball,0.4326923076923077
1984,Diving,0.4375
1984,Sailing,0.006666666666666667
1984,Water Polo,0
1984,Football,0
1984,Boxing,0
1984,Wrestling,0
1984,Weightlifting,0
1984,Judo,0
1984,Modern Pentathlon,0
1992,Badminton,0.4745762711864407
1992,Athletics,0.3603707995365006
1992,Rhythmic Gymnastics,1
1992,Handball,0.386986301369863
1992,Diving,0.54
1992,Basketball,0.3983050847457627
1992,Synchronized Swimming,1
1992,Canoeing,0.23863636363636365
1992,Swimming,0.3993759750390016
1992,Judo,0.37644341801385683
1992,Table Tennis,0.4968553459119497
1992,Sailing,0.19047619047619047
1992,Gymnastics,0.4972972972972973
1992,Rowing,0.30303030303030304
1992,Volleyball,0.3852813852813853
1992,Hockey,0.3980891719745223
1992,Tennis,0.4915254237288136
1992,Cycling,0.1662971175166297
1992,Archery,0.4485294117647059
1992,Fencing,0.23432343234323433
1992,Shooting,0.28746928746928746
1992,Equestrianism,0.3116279069767442
1992,Wrestling,0
1992,Football,0
